Step,# Parameters,Validation Accuracy,Size (MB)
1,20639037,0.8287,79.08583641
2,18051107,0.8225,69.21144676
3,15860582,0.8162,60.84724998
4,14037302,0.8101,53.8891201
5,12485140,0.7983,47.96224022
6,11188102,0.788,43.01399803
7,10078784,0.7745,38.77699852
8,9158159,0.7658,35.26015282
9,8353558,0.7486,32.19252586
10,7663862,0.7405,29.55762672
11,7075424,0.7329,27.31385231
12,6572140,0.7125,25.39118385
13,6146234,0.6994,23.76728249
14,5779137,0.6845,22.36091042
15,5442897,0.6699,21.07679176
16,5154387,0.6528,19.97767067
17,4896998,0.6446,18.99225807
18,4694685,0.6269,18.21998024
19,4497898,0.6113,17.47046852
20,4336346,0.603,16.85346413
